high,low,date,close,open
147.589996,146.089996,2017-04-26T00:00:00.000Z,146.559998,147.089996
147.149994,145.789993,2017-04-25T00:00:00.000Z,146.490005,145.789993
145.669998,144.339996,2017-04-24T00:00:00.000Z,145.470001,144.960007
144.169998,142.270004,2017-04-21T00:00:00.000Z,143.679993,143.899994
144.25,142.690002,2017-04-20T00:00:00.000Z,143.800003,142.949997
143.039993,141.270004,2017-04-19T00:00:00.000Z,142.270004,141.350006
141.910004,140.610001,2017-04-18T00:00:00.000Z,140.960007,141.270004
141.550003,139.75,2017-04-17T00:00:00.000Z,141.419998,139.759995
140.580002,139.330002,2017-04-13T00:00:00.000Z,139.389999,139.619995
140.399994,139.440002,2017-04-12T00:00:00.000Z,139.580002,139.720001
141.029999,138.809998,2017-04-11T00:00:00.000Z,139.919998,140.800003
141.429993,140.630005,2017-04-10T00:00:00.000Z,141.039993,141
141.550003,140.240005,2017-04-07T00:00:00.000Z,140.779999,141.199997
142.220001,140.910004,2017-04-06T00:00:00.000Z,141.169998,142.110001
143.440002,141.289993,2017-04-05T00:00:00.000Z,141.850006,142.259995
142.089996,141.270004,2017-04-04T00:00:00.000Z,141.729996,141.860001
142.470001,140.820007,2017-04-03T00:00:00.000Z,142.279999,141.929993
142.630005,141.889999,2017-03-31T00:00:00.000Z,142.050003,142.309998
142.949997,141.850006,2017-03-30T00:00:00.000Z,142.410004,142.399994
142.860001,141.429993,2017-03-29T00:00:00.000Z,142.649994,141.990005
141.949997,140.009995,2017-03-28T00:00:00.000Z,141.759995,140.360001
140.649994,138.770004,2017-03-27T00:00:00.000Z,140.320007,139.050003
141.020004,139.759995,2017-03-24T00:00:00.000Z,140.339996,140.080002
140.389999,139.089996,2017-03-23T00:00:00.000Z,139.529999,139.479996
139.789993,137.600006,2017-03-22T00:00:00.000Z,139.589996,137.929993
142.309998,138.399994,2017-03-21T00:00:00.000Z,138.509995,141.149994
140.190002,139.25,2017-03-20T00:00:00.000Z,139.940002,139.710007
140.339996,139.699997,2017-03-17T00:00:00.000Z,139.839996,140.339996
140.25,139.729996,2017-03-16T00:00:00.000Z,139.990005,140.199997
140.100006,138.490005,2017-03-15T00:00:00.000Z,139.720001,139.289993
139.460007,138.520004,2017-03-14T00:00:00.000Z,139.320007,139.460007
