high,low,date,close,open
80.449997,76.550003,2016-12-02T00:00:00.000Z,79.5,78.800003
81.550003,78.550003,2016-12-01T00:00:00.000Z,79.449997,80.599998
80.949997,75.629997,2016-11-30T00:00:00.000Z,80.599998,77.699997
81.699997,78.300003,2016-11-29T00:00:00.000Z,78.699997,81.699997
81.900002,79.199997,2016-11-28T00:00:00.000Z,81,80.25
81.949997,79.599998,2016-11-25T00:00:00.000Z,80.150002,80.599998
81.5,79.050003,2016-11-23T00:00:00.000Z,79.849998,79.300003
80.449997,78.75,2016-11-22T00:00:00.000Z,79.5,80.449997
82.099998,78,2016-11-21T00:00:00.000Z,79.25,78.400002
78,74.900002,2016-11-18T00:00:00.000Z,78,75.400002
75.800003,74.599998,2016-11-17T00:00:00.000Z,75.300003,75.449997
76.099998,74.349998,2016-11-16T00:00:00.000Z,75.349998,74.5
74.650002,70.110001,2016-11-15T00:00:00.000Z,74.449997,72.099998
77,70.599998,2016-11-14T00:00:00.000Z,72.5,75.400002
74.599998,70.800003,2016-11-11T00:00:00.000Z,74.599998,71.5
71.5,65.489998,2016-11-10T00:00:00.000Z,71.400002,66.5
66.75,61.75,2016-11-09T00:00:00.000Z,65.75,64.400002
65,64.150002,2016-11-08T00:00:00.000Z,64.699997,64.150002
66.050003,64.5,2016-11-07T00:00:00.000Z,64.900002,66.050003
66.800003,64.5,2016-11-04T00:00:00.000Z,65.400002,64.599998
64.849998,61.799999,2016-11-03T00:00:00.000Z,64.349998,63.549999
67.029999,62.830002,2016-11-02T00:00:00.000Z,63.5,66.650002
69.5,66.650002,2016-11-01T00:00:00.000Z,66.699997,68.449997
68.849998,66.550003,2016-10-31T00:00:00.000Z,68.349998,66.550003
69.150002,66.300003,2016-10-28T00:00:00.000Z,66.900002,66.75
69.599998,66.400002,2016-10-27T00:00:00.000Z,66.800003,69.599998
69.800003,68.849998,2016-10-26T00:00:00.000Z,69,69.800003
69.949997,69.199997,2016-10-25T00:00:00.000Z,69.650002,69.800003
70.650002,69.599998,2016-10-24T00:00:00.000Z,69.949997,70.050003
69.849998,68.260002,2016-10-21T00:00:00.000Z,69.849998,68.349998
69.550003,68.260002,2016-10-20T00:00:00.000Z,69.050003,69
69.690002,68.75,2016-10-19T00:00:00.000Z,69.099998,69.150002
69.949997,69,2016-10-18T00:00:00.000Z,69.349998,69.849998
69.650002,68.599998,2016-10-17T00:00:00.000Z,69.5,68.599998
69.199997,67.550003,2016-10-14T00:00:00.000Z,68.599998,68.900002
69.5,67.599998,2016-10-13T00:00:00.000Z,68.400002,68.699997
68.900002,67.230003,2016-10-12T00:00:00.000Z,68.599998,67.300003
68.099998,66.260002,2016-10-11T00:00:00.000Z,67,68.099998
69.349998,68.150002,2016-10-10T00:00:00.000Z,68.199997,68.550003
69.089996,67.690002,2016-10-07T00:00:00.000Z,68.089996,69.089996
69.260002,67.290001,2016-10-06T00:00:00.000Z,68.860001,67.669998
69,67.5,2016-10-05T00:00:00.000Z,67.5,68.199997
68.959999,67.809998,2016-10-04T00:00:00.000Z,67.860001,68.529999
69.050003,68.010002,2016-10-03T00:00:00.000Z,68.43,68.980003
69.580002,67.5,2016-09-30T00:00:00.000Z,69.120003,68.220001
69.089996,67.349998,2016-09-29T00:00:00.000Z,68.5,68.620003
