high,low,date,close,open
67.339996,64.610001,2017-04-26T00:00:00.000Z,65.309998,67.339996
68.519997,63,2017-04-25T00:00:00.000Z,66.910004,63.110001
64.370003,61.77,2017-04-24T00:00:00.000Z,62.810001,62.900002
63.220001,61.91,2017-04-21T00:00:00.000Z,62.810001,62.200001
62.759998,61.889999,2017-04-20T00:00:00.000Z,62.049999,62.669998
63.029999,60.049999,2017-04-19T00:00:00.000Z,62.400002,60.330002
60.740002,59.830002,2017-04-18T00:00:00.000Z,60.330002,60.200001
60.619999,59.290001,2017-04-17T00:00:00.000Z,60.380001,59.580002
59.84,58.919998,2017-04-13T00:00:00.000Z,59.389999,59.360001
60.060001,59.09,2017-04-12T00:00:00.000Z,59.450001,59.91
60.259998,58.470001,2017-04-11T00:00:00.000Z,59.68,60
61.279999,59.75,2017-04-10T00:00:00.000Z,60.09,61.279999
61.43,60.189999,2017-04-07T00:00:00.000Z,61.060001,61.389999
61.959999,60.279999,2017-04-06T00:00:00.000Z,61.450001,60.66
61.810001,60.549999,2017-04-05T00:00:00.000Z,60.73,61.130001
61.369999,60.529999,2017-04-04T00:00:00.000Z,60.689999,60.799999
60.98,59.779999,2017-04-03T00:00:00.000Z,60.91,60.509998
60.91,59.099998,2017-03-31T00:00:00.000Z,60.380001,59.560001
60.169998,59.110001,2017-03-30T00:00:00.000Z,59.529999,59.580002
59.66,57.73,2017-03-29T00:00:00.000Z,59.459999,58
58.59,57.59,2017-03-28T00:00:00.000Z,58.07,58.18
58.889999,57.299999,2017-03-27T00:00:00.000Z,58.470001,58.849998
59.84,57.720001,2017-03-24T00:00:00.000Z,58.950001,58.189999
58.77,57.84,2017-03-23T00:00:00.000Z,58.099998,58.68
59.060001,56.34,2017-03-22T00:00:00.000Z,58.689999,57.150002
58.25,56.869999,2017-03-21T00:00:00.000Z,57.48,57.98
57.5,55.5,2017-03-20T00:00:00.000Z,57.240002,55.5
55.68,53.560001,2017-03-17T00:00:00.000Z,55.099998,54.119999
54.5,53.650002,2017-03-16T00:00:00.000Z,54.200001,54.02
55.009998,52.099998,2017-03-15T00:00:00.000Z,53.630001,52.169998
52.849998,51.880001,2017-03-14T00:00:00.000Z,52.060001,52.130001
52.060001,50.669998,2017-03-13T00:00:00.000Z,51.84,51.240002
51.41,50.439999,2017-03-10T00:00:00.000Z,51.110001,50.439999
50.830002,50,2017-03-09T00:00:00.000Z,50.25,50.52
51.32,50.27,2017-03-08T00:00:00.000Z,50.459999,50.919998
52.540001,50.82,2017-03-07T00:00:00.000Z,50.82,52.060001
52.060001,50,2017-03-06T00:00:00.000Z,51.689999,50
51,49.009998,2017-03-03T00:00:00.000Z,49.880001,51
51.849998,50.07,2017-03-02T00:00:00.000Z,51.25,50.290001
50.720001,48.950001,2017-03-01T00:00:00.000Z,50.470001,48.950001
48.77,48.119999,2017-02-28T00:00:00.000Z,48.41,48.610001
49,48.060001,2017-02-27T00:00:00.000Z,48.830002,48.700001
49.200001,47.990002,2017-02-24T00:00:00.000Z,49.150002,48.900002
50.619999,49.490002,2017-02-23T00:00:00.000Z,49.720001,49.599998
49.860001,48.700001,2017-02-22T00:00:00.000Z,49.619999,49.290001
49.5,48.490002,2017-02-21T00:00:00.000Z,49.169998,49.5
49.490002,48.950001,2017-02-17T00:00:00.000Z,49.419998,49.18
49.790001,48.950001,2017-02-16T00:00:00.000Z,49.490002,49.759998
49.900002,49.310001,2017-02-15T00:00:00.000Z,49.560001,49.790001
51.23,49.380001,2017-02-14T00:00:00.000Z,49.73,51.23
52.369999,50.380001,2017-02-13T00:00:00.000Z,51.290001,50.57
50.830002,48.799999,2017-02-10T00:00:00.000Z,50.799999,49
48.889999,47.779999,2017-02-09T00:00:00.000Z,48.75,47.779999
48.450001,47.119999,2017-02-08T00:00:00.000Z,47.779999,48.130001
48.220001,47.299999,2017-02-07T00:00:00.000Z,48.02,47.459999
47.990002,46.349998,2017-02-06T00:00:00.000Z,47.23,47.150002
48.779999,47.369999,2017-02-03T00:00:00.000Z,47.41,48.349998
48.41,47.080002,2017-02-02T00:00:00.000Z,48.240002,47.349998
47.799999,46.950001,2017-02-01T00:00:00.000Z,47.580002,47.799999
47.639999,46.810001,2017-01-31T00:00:00.000Z,47.549999,47.450001
48.490002,46.84,2017-01-30T00:00:00.000Z,47.450001,48.490002
48.860001,47.84,2017-01-27T00:00:00.000Z,48.799999,48.41
48.439999,47.25,2017-01-26T00:00:00.000Z,48.25,47.939999
48.07,46.75,2017-01-25T00:00:00.000Z,47.970001,47.68
48.66,47.209999,2017-01-24T00:00:00.000Z,47.740002,48.41
48.73,47.599998,2017-01-23T00:00:00.000Z,48.189999,48.73
49.18,48.34,2017-01-20T00:00:00.000Z,48.43,48.509998
49.66,48,2017-01-19T00:00:00.000Z,48.029999,48.439999
51.689999,46.869999,2017-01-18T00:00:00.000Z,47.869999,51.59
50.779999,47.299999,2017-01-17T00:00:00.000Z,50.110001,49.630001
49,47.959999,2017-01-13T00:00:00.000Z,48.740002,48
48.290001,47.459999,2017-01-12T00:00:00.000Z,47.990002,48.290001
48.540001,47.240002,2017-01-11T00:00:00.000Z,48.240002,48.290001
